gender,gender_binary,age,weight(kg),height(m),BMI,BMR,calories_to_maintain_weight,activity_level,ideal_weight
M,1,17,52.49123017,1.615562351,20.11126104,1477.311,1772.7732,1.2,57.42091762
M,1,17,53.75784945,1.622635831,20.41736829,1498.2,1797.84,1.2,57.92483488
M,1,17,52.95062564,1.622155555,20.1226929,1486.901,2230.3515,1.5,57.89055018
F,0,17,51.77171489,1.619651285,19.73556258,1347.449,1616.9388,1.2,57.71194627
F,0,17,52.57776309,1.617076679,20.10670368,1354.75,2574.025,1.9,57.52861369
M,1,17,52.70527238,1.612358916,20.27358794,1478.642,2809.4198,1.9,57.19342803
F,0,17,53.15103783,1.606745032,20.58817339,1358.497,1630.1964,1.2,56.79585115
M,1,17,47.88538337,1.59570637,18.80602508,1404.283,2387.2811,1.7,56.01813402
F,0,17,47.99201746,1.61457652,18.40991324,1310.301,2489.5719,1.9,57.35086146
F,0,17,53.69452252,1.61201152,20.66301555,1364.609,2046.9135,1.5,57.16878509
F,0,17,53.87014084,1.60919588,20.80320683,1365.817,1775.5621,1.3,56.96925036
M,1,17,53.74385011,1.619971368,20.47925236,1496.676,1796.0112,1.2,57.73475913
F,0,17,54.31228185,1.623909803,20.59559022,1372.563,1784.3319,1.3,58.01582706
M,1,17,52.36501382,1.601430106,20.41856631,1468.516,2790.1804,1.9,56.42072446
M,1,17,52.28541264,1.58941594,20.69690525,1461.418,1753.7016,1.2,55.57734667
F,0,17,52.29865275,1.596919375,20.50805724,1348.643,2562.4217,1.9,56.10333279
F,0,17,52.20092166,1.588119761,20.69720358,1346.209,2557.7971,1.9,55.48673626
F,0,17,53.9243437,1.619210334,20.5673498,1368.039,1778.4507,1.3,57.68052633
M,1,17,49.86044219,1.607660378,19.29156714,1437.318,2443.4406,1.7,56.8605816
M,1,17,47.91097605,1.616678204,18.33107153,1415.119,2405.7023,1.7,57.50026514
F,0,17,49.1009909,1.605993748,19.03717737,1319.488,2243.1296,1.7,56.74275021
F,0,17,54.11960791,1.62284198,20.54954331,1370.531,2604.0089,1.9,57.93955403
F,0,17,48.3714761,1.624879484,18.32090952,1315.696,2499.8224,1.9,58.08513343
M,1,17,51.91643459,1.624406304,19.6750356,1473.858,1768.6296,1.2,58.05130849
M,1,17,53.99503451,1.610271886,20.8235803,1495.268,2841.0092,1.9,57.04546203
M,1,17,52.67742285,1.590729823,20.81764858,1467.446,1760.9352,1.2,55.66927014
F,0,17,54.23514157,1.592715558,21.37983423,1366.519,2596.3861,1.9,55.80834267
F,0,17,49.72618216,1.625008787,18.83101327,1328.723,1993.0845,1.5,58.09437827
F,0,17,49.88662087,1.625186568,18.8876375,1330.293,1995.4395,1.5,58.10709038
F,0,17,53.02224741,1.605410433,20.57244783,1357.033,2578.3627,1.9,56.70153848
M,1,17,52.58797604,1.604763552,20.42040507,1473.237,2209.8555,1.5,56.65585327
F,0,17,48.95567198,1.607656404,18.941595,1318.376,1582.0512,1.2,56.86030049
F,0,17,53.82462163,1.608033335,20.81569378,1365.182,1638.2184,1.2,56.88696654
M,1,17,52.9388789,1.623221072,20.09182543,1487.273,2230.9095,1.5,57.96662627
F,0,17,49.5259699,1.590674875,19.57357466,1320.964,1981.446,1.5,55.66542428
M,1,17,48.65534637,1.611515033,18.73535154,1422.736,2418.6512,1.7,57.13357543
F,0,17,53.802556,1.606964291,20.83485372,1364.788,2047.182,1.5,56.81135312
F,0,17,52.99364609,1.615199571,20.31287613,1358.423,2037.6345,1.5,57.39513239
F,0,17,49.48406215,1.607962689,19.13874294,1323.501,1985.2515,1.5,56.8819682
F,0,17,52.74613279,1.609180936,20.36952333,1355.024,2032.536,1.5,56.96819227
F,0,17,52.02181098,1.625354028,19.69198621,1350.82,2026.23,1.5,58.11906576
M,1,17,53.37466967,1.593099244,21.03049704,1478.183,2808.5477,1.9,55.83523443
M,1,17,52.52998649,1.623124377,19.93901448,1481.623,2815.0837,1.9,57.95972035
M,1,17,49.56497245,1.61081091,19.10230364,1434.846,2152.269,1.5,57.08365933
M,1,17,52.91185036,1.600032716,20.66784633,1475.309,2212.9635,1.5,56.32230323
M,1,17,53.79081627,1.60065301,20.99489675,1487.661,2826.5559,1.9,56.36598129
M,1,17,48.03768373,1.606974039,18.6022012,1412.003,1835.6039,1.3,56.81204236
F,0,17,50.5363629,1.602308122,19.68393465,1332.641,1998.9615,1.5,56.48260899
F,0,17,51.59637372,1.608113409,19.95197231,1343.804,2553.2276,1.9,56.8926322
M,1,17,53.8239283,1.600072411,21.02306907,1487.824,2826.8656,1.9,56.32509785
F,0,17,49.39038794,1.606937262,19.12690032,1322.427,1983.6405,1.5,56.80944201
F,0,17,54.15946752,1.604942039,21.02595255,1367.871,2598.9549,1.9,56.66845687
F,0,17,49.11821478,1.62534608,18.59306029,1322.944,2249.0048,1.7,58.11849735
F,0,17,47.71325772,1.624243699,18.08575689,1309.269,2487.6111,1.9,58.03968706
F,0,17,52.83825363,1.608920339,20.41170915,1355.864,2033.796,1.5,56.94974246
M,1,17,49.54691532,1.61197012,19.06789039,1435.178,2152.767,1.5,57.16584869
F,0,17,50.07654167,1.593932433,19.71035804,1326.803,1990.2045,1.5,55.89365322
F,0,17,50.74481089,1.592576838,20.00740891,1332.988,1599.5856,1.2,55.79862167
F,0,17,52.56751003,1.592392798,20.73084465,1350.455,2565.8645,1.9,55.78572611
F,0,17,51.39993235,1.598998613,20.10325462,1340.369,2010.5535,1.5,56.24952442
M,1,17,54.39321589,1.609625577,20.99399103,1500.4,2850.76,1.9,56.99967896
F,0,17,54.11604262,1.589716752,21.41344433,1364.866,1774.3258,1.3,55.59838573
M,1,17,51.89481178,1.604625311,20.15471514,1463.672,2195.508,1.5,56.64609255
F,0,17,53.8803616,1.596736156,21.13314743,1363.797,2591.2143,1.9,56.09045974
F,0,17,49.28083557,1.588920468,19.51972718,1318.313,2241.1321,1.7,55.54270158
F,0,17,49.14363036,1.59268862,19.37338379,1317.636,2239.9812,1.7,55.80645489
M,1,17,54.23699257,1.604039141,21.07976072,1495.466,2841.3854,1.9,56.60471445
M,1,17,48.2330755,1.616229731,18.46455187,1419.308,1845.1004,1.3,57.46836795
M,1,17,52.27952358,1.596325749,20.51580598,1464.792,2783.1048,1.9,56.06162973
M,1,17,52.91936947,1.614781491,20.29491027,1482.786,2817.2934,1.9,57.3654238
F,0,17,52.15496478,1.603383294,20.28714569,1348.363,1752.8719,1.3,56.55843572
F,0,17,52.3827435,1.606936186,20.28574581,1351.153,2567.1907,1.9,56.80936593
M,1,17,47.92851596,1.612241732,18.43884295,1413.142,2402.3414,1.7,57.18511485
F,0,17,48.5094911,1.599162266,18.96887834,1312.649,2231.5033,1.7,56.26103897
F,0,17,53.29165169,1.610654874,20.54254269,1360.511,2040.7665,1.5,57.07260071
M,1,17,51.65695464,1.587814553,20.4894001,1452.008,2178.012,1.5,55.4654112
M,1,17,48.01604926,1.619743344,18.30180887,1418.092,2410.7564,1.7,57.71850701
F,0,17,52.88138946,1.590838703,20.89539383,1353.204,2029.806,1.5,55.67689114
M,1,17,48.56386967,1.620713745,18.48845643,1426.082,1853.9066,1.3,57.78768695
F,0,17,51.79792634,1.587746833,20.54706825,1342.277,2550.3263,1.9,55.46068013
M,1,17,54.00492605,1.590172702,21.35722328,1485.354,1782.4248,1.2,55.63028289
M,1,17,49.45879397,1.617415647,18.90602561,1436.693,2155.0395,1.5,57.55273425
M,1,17,51.21830699,1.614656737,19.64557754,1459.419,1751.3028,1.2,57.35656032
M,1,17,47.78615687,1.621796382,18.16809742,1415.969,1699.1628,1.2,57.8649171
M,1,17,53.48096877,1.596565381,20.98098385,1481.372,2222.058,1.5,56.07846235
F,0,17,52.16491091,1.622045195,19.82679738,1351.631,2027.4465,1.5,57.88267352
F,0,17,51.02329237,1.608096245,19.73078677,1338.3,2007.45,1.5,56.89141773
M,1,17,50.92578207,1.602452426,19.83204126,1449.309,2753.6871,1.9,56.49278311
M,1,17,54.35036308,1.620248681,20.70327718,1505.124,2558.7108,1.7,57.75452734
F,0,17,53.50340794,1.617542054,20.44891569,1363.715,2045.5725,1.5,57.56173052
M,1,17,49.92498524,1.610434347,19.25005151,1439.589,2447.3013,1.7,57.05697329
M,1,17,50.46476637,1.596518042,19.79887918,1440.026,2160.039,1.5,56.07513689
M,1,17,52.6460327,1.613973633,20.21030083,1478.637,2809.4103,1.9,57.30803954
M,1,17,53.49364082,1.611959467,20.58704069,1489.243,2233.8645,1.5,57.16509311
M,1,17,49.27769538,1.592388084,19.43356826,1421.698,2416.8866,1.7,55.78539582
F,0,17,54.37376488,1.620720363,20.70013737,1372.611,1647.1332,1.2,57.78815889
F,0,17,53.01432705,1.593996538,20.86500559,1355.017,1626.0204,1.2,55.89814919
F,0,17,48.82426788,1.598879353,19.09872392,1315.622,2236.5574,1.7,56.24113408
F,0,17,54.05527652,1.58766409,21.44474316,1363.934,2591.4746,1.9,55.45489978
F,0,17,51.74920211,1.588939738,20.4969294,1342.012,1610.4144,1.2,55.5440488
M,1,17,48.22888465,1.596994727,18.91037993,1409.633,1832.5229,1.3,56.10862748
M,1,17,53.73300495,1.623346186,20.39007573,1498.215,1797.858,1.2,57.97556247
M,1,17,49.50442014,1.587691733,19.63864912,1422.456,1849.1928,1.3,55.45683086
M,1,17,50.83705144,1.61812116,19.41593364,1455.928,2183.892,1.5,57.60295395
M,1,17,53.59721801,1.616795448,20.5036931,1493.08,2239.62,1.5,57.50860545
F,0,17,48.39280633,1.588100242,19.18779119,1309.648,1964.472,1.5,55.48537233
F,0,17,53.67057219,1.600999113,20.93890867,1362.507,1771.2591,1.3,56.39035952
F,0,17,48.40847351,1.598584445,18.94306383,1311.581,1967.3715,1.5,56.22038901
F,0,17,52.92220672,1.625412287,20.03137993,1359.473,2582.9987,1.9,58.12323226
M,1,17,53.60222445,1.59716492,21.01276905,1483.333,2818.3327,1.9,56.1205872
M,1,17,54.22191146,1.589088684,21.47229937,1487.785,1785.342,1.2,55.5544626
M,1,17,51.44090726,1.621168316,19.57277507,1465.725,1758.87,1.2,57.82010759
M,1,17,52.74414214,1.591034713,20.83602754,1468.512,2202.768,1.5,55.69061208
F,0,17,49.01125356,1.591301248,19.35490321,1316.129,2237.4193,1.7,55.70927256
F,0,17,48.65032723,1.615882902,18.63227967,1316.843,2238.6331,1.7,57.44370617
M,1,17,53.46398963,1.621725078,20.32857323,1493.719,2838.0661,1.9,57.85982903
M,1,17,53.87028351,1.608433311,20.82299253,1492.64,1791.168,1.2,56.91526975
F,0,17,48.58702322,1.610120651,18.74146134,1315.256,1578.3072,1.2,57.03474724
F,0,17,51.12716074,1.596061069,20.07024467,1337.251,1604.7012,1.2,56.04304059
M,1,17,52.66245211,1.596995034,20.64875854,1470.373,2205.5595,1.5,56.10864905
F,0,17,49.67857055,1.591615993,19.61067319,1322.589,1983.8835,1.5,55.73131232
M,1,17,53.42216492,1.62094266,20.33228456,1492.755,2836.2345,1.9,57.80401235
F,0,17,50.93066969,1.60164242,19.85401113,1336.314,1603.5768,1.2,56.43568571
F,0,17,52.84380888,1.600909824,20.61865699,1354.555,1625.466,1.2,56.38406982
F,0,17,47.65840148,1.58927489,18.86867604,1302.797,1563.3564,1.2,55.56748287
F,0,17,50.93502094,1.612078556,19.59945914,1338.13,1605.756,1.2,57.17353996
M,1,17,48.10587277,1.604235354,18.69226513,1411.568,2399.6656,1.7,56.61856356
M,1,17,51.62647871,1.617722646,19.72715123,1466.544,2199.816,1.5,57.57458431
M,1,17,50.39618548,1.620379672,19.19393825,1451.018,2176.527,1.5,57.76386619
M,1,17,49.86584363,1.591614063,19.68464719,1429.369,2429.9273,1.7,55.73117716
M,1,17,52.00422559,1.613543703,19.97455753,1469.63,1763.556,1.2,57.27751219
M,1,17,52.82172214,1.593669172,20.79774327,1470.892,2206.338,1.5,55.87519146
M,1,17,52.84137499,1.596148588,20.74089409,1472.401,2208.6015,1.5,56.04918693
F,0,17,53.67220661,1.624241922,20.34454679,1366.474,2596.3006,1.9,58.03956007
F,0,17,48.66294469,1.610740017,18.75631374,1316.09,2237.353,1.7,57.07863485
F,0,17,47.94394612,1.593884536,18.87209275,1306.322,2220.7474,1.7,55.89029411
F,0,17,52.12325499,1.615085991,19.9820586,1350.048,1755.0624,1.3,57.38706068
M,1,17,52.01124546,1.616665894,19.90016607,1471.287,2206.9305,1.5,57.49938948
F,0,17,50.36281217,1.598684174,19.70537122,1330.359,1596.4308,1.2,56.22740394
F,0,17,53.75340339,1.613284705,20.65303752,1365.391,1775.0083,1.3,57.25912587
M,1,17,51.97016815,1.595144193,20.42463139,1459.963,2189.9445,1.5,55.97866992
M,1,17,47.92536117,1.589992176,18.9572536,1401.974,1822.5662,1.3,55.61765263
F,0,17,53.33014733,1.599796738,20.83738277,1359.035,2038.5525,1.5,56.30569126
F,0,17,54.30636892,1.621765314,20.64784592,1372.141,2607.0679,1.9,57.86270014
F,0,17,53.71382559,1.600475904,20.96948694,1362.834,2044.251,1.5,56.35350862
F,0,17,49.48642799,1.605913651,19.18853096,1323.175,2249.3975,1.7,56.7370904
F,0,17,53.52413528,1.616820441,20.47510216,1363.791,2045.6865,1.5,57.51038345
F,0,17,54.30748051,1.625186023,20.56143862,1372.733,1784.5529,1.3,58.10705141
F,0,17,52.12769019,1.61974371,19.86899394,1350.882,2566.6758,1.9,57.71853309
M,1,17,54.01547241,1.58905322,21.39150268,1484.939,2227.4085,1.5,55.55198299
M,1,17,53.45807926,1.617866782,20.42339018,1491.709,2834.2471,1.9,57.58484433
M,1,17,52.63553897,1.612887836,20.23348731,1477.951,1773.5412,1.2,57.23095777
M,1,17,49.42319457,1.614390552,18.96328617,1434.693,2152.0395,1.5,57.3376508
F,0,17,51.84432863,1.605507617,20.11298427,1345.742,2556.9098,1.9,56.70840358
F,0,17,53.57915628,1.619669003,20.42411884,1364.804,2593.1276,1.9,57.71320894
F,0,17,53.81810887,1.617942358,20.55901687,1366.804,2596.9276,1.9,57.59022442
M,1,17,53.44154268,1.590920953,21.11454769,1478.01,2808.219,1.9,55.68264853
F,0,17,48.8350621,1.593772916,19.22555385,1314.858,2235.2586,1.7,55.88246637
M,1,17,53.50945247,1.605004001,20.77199783,1485.981,2823.3639,1.9,56.67283255
F,0,17,49.21676713,1.621930082,18.70892463,1323.309,2249.6253,1.7,57.8744582
M,1,17,48.97348245,1.614185112,18.79551857,1428.429,2428.3293,1.7,57.32305867
F,0,17,48.85051217,1.606487255,18.92842823,1317.168,1975.752,1.5,56.77762861
F,0,18,57.68503574,1.631401915,21.67410788,1401.515,2382.5755,1.7,58.55238858
M,1,18,57.0441505,1.632369615,21.40790223,1541.29,2928.451,1.9,58.62187232
M,1,18,57.10113915,1.631902033,21.44157115,1541.837,2621.1229,1.7,58.5882934
M,1,18,57.61193689,1.631613442,21.64103001,1548.69,2013.297,1.3,58.56757333
M,1,18,56.76656671,1.632260809,21.30656906,1537.432,1998.6616,1.3,58.61405767
M,1,18,57.29972038,1.631215112,21.53426385,1544.214,2934.0066,1.9,58.53898032
F,0,18,56.86366493,1.631717287,21.35723457,1393.683,2369.2611,1.7,58.5750287
F,0,18,57.10942572,1.631128513,21.46502676,1395.942,1814.7246,1.3,58.53276497
M,1,18,57.87704064,1.632222229,21.7243975,1552.627,2018.4151,1.3,58.61128691
F,0,18,57.64075617,1.632710698,21.62276324,1401.312,2382.2304,1.7,58.64637291
M,1,18,57.8915816,1.631488728,21.74939894,1552.459,2639.1803,1.7,58.55862033
F,0,18,57.4751242,1.633210506,21.54743546,1399.807,1819.7491,1.3,58.68228425
M,1,18,56.84391574,1.631773351,21.34835002,1538.248,2615.0216,1.7,58.57905392
M,1,18,57.23346698,1.63112243,21.51180909,1543.26,2623.542,1.7,58.5323284
F,0,18,57.20407406,1.631761711,21.48391789,1396.959,1816.0467,1.3,58.57821819
M,1,18,57.7071353,1.631387167,21.6828034,1549.881,2944.7739,1.9,58.55132995
M,1,18,57.71758517,1.632898846,21.64659482,1550.78,2016.014,1.3,58.65989011
M,1,18,57.77102702,1.633042874,21.66281618,1551.585,2948.0115,1.9,58.67023862
F,0,18,56.96542019,1.631327908,21.4056674,1394.594,2649.7286,1.9,58.54707636
F,0,18,57.44715081,1.632978305,21.54307355,1399.499,1819.3487,1.3,58.66559918
F,0,18,57.03856092,1.630820682,21.44648576,1395.21,2371.857,1.7,58.51067413
M,1,18,57.3981003,1.631672724,21.55913894,1545.79,2009.527,1.3,58.57182932
M,1,18,57.03773864,1.633106335,21.38618758,1541.57,2004.041,1.3,58.67479863
M,1,18,57.42862924,1.632512448,21.54842076,1546.628,2938.5932,1.9,58.63213164
F,0,18,57.81529005,1.632369124,21.69731357,1402.93,2384.981,1.7,58.62183705
M,1,18,56.70466496,1.632621959,21.27392,1536.765,1844.118,1.2,58.63999814
M,1,18,57.07320908,1.632837773,21.40652712,1541.922,2004.4986,1.3,58.65550224
M,1,18,57.80584288,1.631870152,21.70703668,1551.475,2016.9175,1.3,58.58600425
F,0,18,57.90125552,1.632147362,21.73548054,1403.717,1824.8321,1.3,58.60591025
M,1,18,56.73668475,1.632306153,21.29417014,1537.046,1844.4552,1.2,58.6173143
F,0,18,57.48663012,1.632599832,21.56787492,1399.814,2379.6838,1.7,58.63840865
F,0,18,56.72277224,1.630968713,21.32387796,1392.203,2366.7451,1.7,58.52129674
M,1,18,57.55875516,1.630853779,21.64120027,1547.582,2011.8566,1.3,58.51304907
M,1,18,56.95675868,1.630833248,21.41539811,1539.324,1847.1888,1.2,58.51157582
F,0,18,57.95885705,1.631032311,21.78686205,1404.081,2386.9377,1.7,58.52586079
M,1,18,56.70508065,1.632010911,21.29000957,1536.465,1843.758,1.2,58.5961115
F,0,18,57.28688213,1.630716259,21.54261318,1397.576,1816.8488,1.3,58.50318138
M,1,18,56.77901659,1.631933076,21.31980248,1537.439,1998.6707,1.3,58.59052242
M,1,18,57.11409499,1.632203084,21.43852547,1542.165,2930.1135,1.9,58.60991196
F,0,18,57.34156224,1.632415241,21.51831392,1398.39,2377.263,1.7,58.62514942
F,0,18,56.75687578,1.631196145,21.33074916,1392.569,2645.8811,1.9,58.537619
M,1,18,57.76981262,1.63291282,21.66581155,1551.503,2637.5551,1.7,58.66089411
F,0,18,57.17594684,1.632526605,21.45323696,1396.819,1815.8647,1.3,58.63314855
M,1,18,57.39201024,1.632845437,21.52589824,1546.293,2937.9567,1.9,58.65605286
F,0,18,56.98763986,1.630843602,21.42673718,1394.725,2371.0325,1.7,58.51231879
F,0,18,57.28718386,1.632783512,21.48821107,1397.93,2376.481,1.7,58.65160394
F,0,18,56.70741387,1.632491162,21.27836059,1392.315,1810.0095,1.3,58.63060267
F,0,18,57.02633698,1.632074271,21.40896339,1395.305,1813.8965,1.3,58.60066137
F,0,18,57.04141839,1.63135597,21.43348755,1395.328,1813.9264,1.3,58.54909062
M,1,18,57.16028963,1.632742483,21.44169108,1543.067,2931.8273,1.9,58.64865635
F,0,18,56.93651217,1.631933639,21.37892533,1394.419,2370.5123,1.7,58.59056285
M,1,18,57.95280237,1.63110056,21.78276308,1553.104,2640.2768,1.7,58.53075881
M,1,18,57.5591172,1.631751854,21.61752127,1548.036,2941.2684,1.9,58.57751049
M,1,18,57.66960835,1.631141607,21.67522781,1549.244,2943.5636,1.9,58.53370473
F,0,18,57.69724072,1.632958089,21.6373947,1401.896,1822.4648,1.3,58.66414665
F,0,18,57.12465457,1.631371362,21.46435875,1396.13,2373.421,1.7,58.55019546
F,0,18,57.89578359,1.632395877,21.72680956,1403.707,1824.8191,1.3,58.62375858
F,0,18,57.15692407,1.631335714,21.47742252,1396.434,1815.3642,1.3,58.54763666
M,1,18,56.82565591,1.630684185,21.37001065,1537.454,2921.1626,1.9,58.50088005
F,0,18,57.89998536,1.632362561,21.72927332,1403.741,2386.3597,1.7,58.62136567
F,0,18,56.94554829,1.633215648,21.34876292,1394.724,1813.1412,1.3,58.68265376
M,1,18,57.60931054,1.632567221,21.61476574,1549.131,2013.8703,1.3,58.63606608
M,1,18,57.8762196,1.631154171,21.75254791,1552.081,2948.9539,1.9,58.53460645
F,0,18,57.27565011,1.632464955,21.49227029,1397.765,2376.2005,1.7,58.62872024
M,1,18,57.78330893,1.632527323,21.68110889,1551.495,2637.5415,1.7,58.63320013
F,0,18,57.85767437,1.632684441,21.70483379,1403.39,2385.763,1.7,58.64448665
F,0,18,57.23701553,1.631626806,21.4998444,1397.252,2375.3284,1.7,58.56853275
F,0,18,56.93000918,1.6324638,21.36260127,1394.447,2370.5599,1.7,58.62863728
F,0,18,57.67008047,1.632768965,21.63221962,1401.603,2382.7251,1.7,58.65055885
M,1,18,56.76911218,1.631955208,21.31550534,1537.314,2613.4338,1.7,58.59211162
F,0,18,56.95795809,1.632345714,21.37618134,1394.695,2649.9205,1.9,58.62015566
M,1,18,56.91731937,1.6329945,21.34395979,1539.865,2925.7435,1.9,58.66676281
M,1,18,57.44491967,1.631137099,21.59089748,1546.164,2937.7116,1.9,58.53338119
M,1,18,57.60699882,1.632950529,21.60375256,1549.291,2014.0783,1.3,58.66360346
F,0,18,57.27520133,1.633023908,21.47739174,1397.856,2376.3552,1.7,58.66887585
M,1,18,57.60085577,1.631534217,21.6389689,1548.499,2942.1481,1.9,58.56188583
M,1,18,57.57749576,1.631462103,21.63210547,1548.143,2012.5859,1.3,58.55670906
M,1,18,57.87188278,1.630782193,21.76084175,1551.836,2638.1212,1.7,58.50791234
M,1,18,56.916109,1.631475282,21.38327425,1539.088,2000.8144,1.3,58.55765511
F,0,18,57.64332875,1.631338147,21.66013049,1401.103,1821.4339,1.3,58.5478113
M,1,18,56.78088714,1.632305881,21.31076711,1537.651,2921.5369,1.9,58.61729476
M,1,18,57.52176978,1.632500367,21.58368849,1547.898,2012.2674,1.3,58.63126386
M,1,18,56.81840925,1.631839471,21.33704156,1537.932,1845.5184,1.2,58.5838013
M,1,18,57.55088072,1.631985002,21.60825258,1548.04,2012.452,1.3,58.59425103
M,1,18,57.69368961,1.631763661,21.66774915,1549.885,2014.8505,1.3,58.5783582
M,1,18,56.97360005,1.632687525,21.37309979,1540.482,2926.9158,1.9,58.64470819
F,0,18,57.93286359,1.630816216,21.78286266,1403.794,2386.4498,1.7,58.51035367
M,1,18,56.90239614,1.631477465,21.37806512,1538.902,2923.9138,1.9,58.55781181
M,1,18,57.85524256,1.632661937,21.70451986,1552.548,2018.3124,1.3,58.64287001
F,0,18,57.06379866,1.632636241,21.40828184,1395.761,1814.4893,1.3,58.6410241
M,1,18,57.14768522,1.631809036,21.46149525,1542.428,2930.6132,1.9,58.58161606
M,1,18,57.91226217,1.631766915,21.74975068,1552.881,2018.7453,1.3,58.57859183
F,0,18,57.92464111,1.630842612,21.77906598,1403.72,1824.836,1.3,58.51224775
M,1,18,56.99590684,1.631093362,21.42328313,1539.991,2001.9883,1.3,58.53024222
M,1,18,57.88168962,1.631840483,21.73630873,1552.499,2018.2487,1.3,58.58387396
M,1,18,57.02477655,1.632162842,21.40605414,1540.921,2003.1973,1.3,58.60702194
F,0,18,57.58324823,1.63077303,21.65255342,1400.431,2380.7327,1.7,58.50725486
F,0,18,56.9339888,1.632907397,21.3524886,1394.561,1812.9293,1.3,58.66050448
M,1,18,56.99753712,1.631212085,21.42077747,1540.072,2002.0936,1.3,58.53876306
F,0,18,57.64748223,1.632430611,21.63270781,1401.329,1821.7277,1.3,58.62625339
F,0,18,57.27485526,1.631140092,21.52689912,1397.532,1816.7916,1.3,58.53359599
M,1,18,57.82532907,1.630841041,21.74176758,1551.228,2016.5964,1.3,58.51213502
F,0,18,57.75151559,1.632916508,21.65885165,1402.41,2384.097,1.7,58.66115909
F,0,18,57.0193046,1.632247694,21.40177474,1395.267,2371.9539,1.7,58.61311576
M,1,18,56.7009024,1.63116417,21.31054833,1535.984,2611.1728,1.7,58.53532409
F,0,18,57.88515353,1.631043725,21.75885219,1403.375,2385.7375,1.7,58.52667992
M,1,18,56.72394019,1.632567541,21.28257023,1537.002,2920.3038,1.9,58.63608907
M,1,18,57.58878149,1.631020186,21.6480717,1548.076,2012.4988,1.3,58.52499064
M,1,18,57.02638311,1.630895151,21.43994884,1540.309,2002.4017,1.3,58.51601786
M,1,18,56.79471928,1.632392465,21.31369733,1537.884,2614.4028,1.7,58.62351352
M,1,18,56.79148305,1.631480529,21.33631527,1537.384,2613.5528,1.7,58.55803176
M,1,18,57.86705372,1.631532966,21.73900508,1552.145,2949.0755,1.9,58.56179602
F,0,18,57.00349063,1.631393374,21.41825391,1394.97,1813.461,1.3,58.5517755
F,0,18,57.28807996,1.632149622,21.50524178,1397.831,2376.3127,1.7,58.60607255
F,0,18,57.10618646,1.631093241,21.46473756,1395.905,1814.6765,1.3,58.53023354
M,1,18,56.93482579,1.632380283,21.36659486,1539.797,1847.7564,1.2,58.62263854
F,0,18,56.91955488,1.632659216,21.35356577,1394.38,1812.694,1.3,58.64267454
F,0,18,56.92771783,1.632095121,21.3713935,1394.362,2649.2878,1.9,58.60215865
F,0,18,56.74680408,1.630891743,21.33492594,1392.421,2645.5999,1.9,58.5157733
F,0,18,57.7016954,1.632142445,21.66069841,1401.8,1822.34,1.3,58.60555714
M,1,18,57.39543732,1.631719006,21.55691577,1545.777,2936.9763,1.9,58.57515212
F,0,18,57.70672703,1.631393166,21.68249053,1401.721,2382.9257,1.7,58.55176057
M,1,18,56.94852299,1.633189218,21.35056913,1540.389,1848.4668,1.2,58.68075448
M,1,18,57.97258589,1.630856549,21.79672016,1553.253,2640.5301,1.7,58.51324784
M,1,18,57.92355306,1.632586911,21.73214396,1553.446,2640.8582,1.7,58.63748048
F,0,18,57.17061948,1.631525111,21.47758137,1396.597,1815.5761,1.3,58.56123213
M,1,18,56.78770223,1.63185062,21.32521876,1537.517,2921.2823,1.9,58.58460181
F,0,18,57.71271699,1.632461982,21.65635532,1401.961,2383.3337,1.7,58.6285067
M,1,18,57.86536489,1.631081948,21.75039426,1551.896,2948.6024,1.9,58.52942306
F,0,18,57.82440939,1.631829026,21.7151032,1402.925,1823.8025,1.3,58.58305134
M,1,18,56.87559236,1.632579417,21.33915899,1539.085,2000.8105,1.3,58.63694216
F,0,18,57.08733185,1.631980814,21.43431694,1395.875,1814.6375,1.3,58.5939503
M,1,18,56.99113101,1.631721824,21.40499011,1540.239,2618.4063,1.7,58.57535444
M,1,18,56.98369165,1.632961938,21.36970156,1540.758,2927.4402,1.9,58.6644232
F,0,18,57.60852608,1.632019698,21.62897664,1400.885,2381.5045,1.7,58.59674248
M,1,18,57.23333909,1.632422455,21.47751167,1543.908,2007.0804,1.3,58.62566757
F,0,18,57.79430988,1.630884588,21.72894421,1402.476,2384.2092,1.7,58.51525987
M,1,18,57.48856468,1.631217595,21.60516917,1546.802,2010.8426,1.3,58.53915853
M,1,18,56.87542183,1.63238494,21.34417987,1538.986,2616.2762,1.7,58.62297303
M,1,18,56.79488097,1.631412065,21.33938281,1537.396,1998.6148,1.3,58.55311717
M,1,18,56.79451668,1.632048353,21.32261008,1537.709,1845.2508,1.2,58.59880018
M,1,18,57.63940973,1.632103335,21.63835394,1549.312,2014.1056,1.3,58.60274851
F,0,18,57.52085581,1.630683946,21.63145576,1399.816,1819.7608,1.3,58.5008629
M,1,18,57.64146826,1.631187174,21.66344091,1548.882,2942.8758,1.9,58.53697513
F,0,18,57.74196225,1.631237653,21.69986657,1402.033,2383.4561,1.7,58.54059817
M,1,18,56.76529602,1.63119488,21.33394679,1536.882,2612.6994,1.7,58.5375282
M,1,18,57.40316002,1.63105934,21.57725915,1545.553,2936.5507,1.9,58.52780055
M,1,18,57.02616211,1.631248579,21.43057638,1540.483,2618.8211,1.7,58.54138238
M,1,18,56.729431,1.63175804,21.30575384,1536.672,2612.3424,1.7,58.57795462
